Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Ice Training App (Visit and overwrite shop with category level),,,2018-06-08 00:07:12,2018-06-08 00:31:39,24m - 27.252s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-06-08 00:07:13,2018-06-08 00:07:41,28.203s,PASSED
startApplication,,,2018-06-08 00:07:13,2018-06-08 00:07:36,22.758s,PASSED
delay,,,2018-06-08 00:07:36,2018-06-08 00:07:41,5.105s,PASSED
,,,,,,
Test Cases/CompetencyTraining/VisitCompetencyTraining,,,2018-06-08 00:07:41,2018-06-08 00:07:55,13.789s,PASSED
verifyElementExist,,,2018-06-08 00:07:41,2018-06-08 00:07:42,0.674s,PASSED
delay,,,2018-06-08 00:07:42,2018-06-08 00:07:43,1.005s,PASSED
tap,,,2018-06-08 00:07:43,2018-06-08 00:07:44,0.888s,PASSED
delay,,,2018-06-08 00:07:44,2018-06-08 00:07:45,1.005s,PASSED
verifyElementExist,,,2018-06-08 00:07:45,2018-06-08 00:07:45,0.369s,PASSED
delay,,,2018-06-08 00:07:45,2018-06-08 00:07:46,1.006s,PASSED
tap,,,2018-06-08 00:07:46,2018-06-08 00:07:47,0.801s,PASSED
delay,,,2018-06-08 00:07:47,2018-06-08 00:07:48,1.007s,PASSED
verifyElementText,,,2018-06-08 00:07:48,2018-06-08 00:07:48,0.336s,PASSED
delay,,,2018-06-08 00:07:48,2018-06-08 00:07:49,1.005s,PASSED
tap,,,2018-06-08 00:07:49,2018-06-08 00:07:50,0.562s,PASSED
delay,,,2018-06-08 00:07:50,2018-06-08 00:07:51,1.006s,PASSED
verifyElementText,,,2018-06-08 00:07:51,2018-06-08 00:07:51,0.606s,PASSED
delay,,,2018-06-08 00:07:51,2018-06-08 00:07:52,1.003s,PASSED
tap,,,2018-06-08 00:07:52,2018-06-08 00:07:54,1.109s,PASSED
delay,,,2018-06-08 00:07:54,2018-06-08 00:07:55,1.004s,PASSED
,,,,,,
Test Cases/CompetencyTraining/VisitShop_1,,,2018-06-08 00:07:55,2018-06-08 00:07:58,3.570s,PASSED
verifyElementText,,,2018-06-08 00:07:55,2018-06-08 00:07:55,0.179s,PASSED
delay,,,2018-06-08 00:07:55,2018-06-08 00:07:56,1.008s,PASSED
customkeywordscollection.CustomKeywords.selectShopForCompetencyTraining,,,2018-06-08 00:07:56,2018-06-08 00:07:58,2.158s,PASSED
,,,,,,
Test Cases/CompetencyTraining/VisitTraining,,,2018-06-08 00:07:58,2018-06-08 00:10:37,2m - 38.465s,PASSED
verifyElementText,,,2018-06-08 00:07:59,2018-06-08 00:07:59,0.218s,PASSED
delay,,,2018-06-08 00:07:59,2018-06-08 00:08:00,1.004s,PASSED
tap,,,2018-06-08 00:08:00,2018-06-08 00:08:02,2.216s,PASSED
delay,,,2018-06-08 00:08:02,2018-06-08 00:08:03,1.007s,PASSED
verifyElementExist,,,2018-06-08 00:08:03,2018-06-08 00:08:03,0.165s,PASSED
delay,,,2018-06-08 00:08:03,2018-06-08 00:08:04,1.005s,PASSED
tap,,,2018-06-08 00:08:04,2018-06-08 00:08:08,3.308s,PASSED
delay,,,2018-06-08 00:08:08,2018-06-08 00:08:13,5.005s,PASSED
tap,,,2018-06-08 00:08:13,2018-06-08 00:08:14,1.073s,PASSED
delay,,,2018-06-08 00:08:14,2018-06-08 00:08:15,1.006s,PASSED
verifyElementText,,,2018-06-08 00:08:15,2018-06-08 00:08:15,0.626s,PASSED
delay,,,2018-06-08 00:08:15,2018-06-08 00:08:16,1.003s,PASSED
tap,,,2018-06-08 00:08:16,2018-06-08 00:08:17,0.965s,PASSED
delay,,,2018-06-08 00:08:17,2018-06-08 00:08:18,1.005s,PASSED
verifyElementText,,,2018-06-08 00:08:18,2018-06-08 00:08:19,1.021s,PASSED
delay,,,2018-06-08 00:08:19,2018-06-08 00:08:20,1.005s,PASSED
tap,,,2018-06-08 00:08:20,2018-06-08 00:08:21,0.317s,PASSED
delay,,,2018-06-08 00:08:21,2018-06-08 00:08:22,1.005s,PASSED
verifyElementText,,,2018-06-08 00:08:22,2018-06-08 00:08:23,1.662s,PASSED
delay,,,2018-06-08 00:08:23,2018-06-08 00:08:24,1.004s,PASSED
tap,,,2018-06-08 00:08:24,2018-06-08 00:08:25,0.377s,PASSED
delay,,,2018-06-08 00:08:25,2018-06-08 00:08:26,1.005s,PASSED
tap,,,2018-06-08 00:08:26,2018-06-08 00:08:26,0.821s,PASSED
delay,,,2018-06-08 00:08:26,2018-06-08 00:08:27,1.005s,PASSED
tap,,,2018-06-08 00:08:27,2018-06-08 00:08:28,0.965s,PASSED
delay,,,2018-06-08 00:08:28,2018-06-08 00:08:29,1.003s,PASSED
tap,,,2018-06-08 00:08:29,2018-06-08 00:08:30,0.911s,PASSED
delay,,,2018-06-08 00:08:30,2018-06-08 00:08:31,1.004s,PASSED
tap,,,2018-06-08 00:08:31,2018-06-08 00:08:32,1.009s,PASSED
delay,,,2018-06-08 00:08:32,2018-06-08 00:08:33,1.004s,PASSED
tap,,,2018-06-08 00:08:33,2018-06-08 00:08:34,0.941s,PASSED
delay,,,2018-06-08 00:08:34,2018-06-08 00:08:35,1.005s,PASSED
tap,,,2018-06-08 00:08:35,2018-06-08 00:08:36,0.306s,PASSED
delay,,,2018-06-08 00:08:36,2018-06-08 00:08:37,1.005s,PASSED
tap,,,2018-06-08 00:08:37,2018-06-08 00:08:38,0.904s,PASSED
delay,,,2018-06-08 00:08:38,2018-06-08 00:08:39,1.004s,PASSED
tap,,,2018-06-08 00:08:39,2018-06-08 00:08:39,0.956s,PASSED
delay,,,2018-06-08 00:08:39,2018-06-08 00:08:40,1.005s,PASSED
tap,,,2018-06-08 00:08:40,2018-06-08 00:08:41,1.001s,PASSED
delay,,,2018-06-08 00:08:41,2018-06-08 00:08:43,1.005s,PASSED
tap,,,2018-06-08 00:08:43,2018-06-08 00:08:43,0.895s,PASSED
delay,,,2018-06-08 00:08:43,2018-06-08 00:08:44,1.002s,PASSED
tap,,,2018-06-08 00:08:44,2018-06-08 00:08:45,0.972s,PASSED
delay,,,2018-06-08 00:08:45,2018-06-08 00:08:46,1.003s,PASSED
pressBack,,,2018-06-08 00:08:46,2018-06-08 00:08:47,0.974s,PASSED
delay,,,2018-06-08 00:08:47,2018-06-08 00:08:48,1.007s,PASSED
verifyElementText,,,2018-06-08 00:08:48,2018-06-08 00:08:49,0.253s,PASSED
delay,,,2018-06-08 00:08:49,2018-06-08 00:08:50,1.004s,PASSED
tap,,,2018-06-08 00:08:50,2018-06-08 00:08:50,0.761s,PASSED
delay,,,2018-06-08 00:08:50,2018-06-08 00:08:51,1.005s,PASSED
verifyElementText,,,2018-06-08 00:08:51,2018-06-08 00:08:52,0.822s,PASSED
delay,,,2018-06-08 00:08:52,2018-06-08 00:08:53,1.005s,PASSED
