Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Ice Training App (Visit and overwrite shop with shop level),,,2018-06-08 00:31:43,2018-06-08 00:54:20,22m - 37.203s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-06-08 00:31:44,2018-06-08 00:32:12,27.835s,PASSED
startApplication,,,2018-06-08 00:31:44,2018-06-08 00:32:07,22.303s,PASSED
delay,,,2018-06-08 00:32:07,2018-06-08 00:32:12,5.060s,PASSED
,,,,,,
Test Cases/CompetencyTraining/VisitCompetencyTraining,,,2018-06-08 00:32:12,2018-06-08 00:32:26,13.952s,PASSED
verifyElementExist,,,2018-06-08 00:32:12,2018-06-08 00:32:12,0.419s,PASSED
delay,,,2018-06-08 00:32:12,2018-06-08 00:32:13,1.006s,PASSED
tap,,,2018-06-08 00:32:13,2018-06-08 00:32:14,0.991s,PASSED
delay,,,2018-06-08 00:32:14,2018-06-08 00:32:15,1.008s,PASSED
verifyElementExist,,,2018-06-08 00:32:15,2018-06-08 00:32:16,0.342s,PASSED
delay,,,2018-06-08 00:32:16,2018-06-08 00:32:17,1.007s,PASSED
tap,,,2018-06-08 00:32:17,2018-06-08 00:32:17,0.720s,PASSED
delay,,,2018-06-08 00:32:17,2018-06-08 00:32:18,1.005s,PASSED
verifyElementText,,,2018-06-08 00:32:18,2018-06-08 00:32:19,0.365s,PASSED
delay,,,2018-06-08 00:32:19,2018-06-08 00:32:20,1.006s,PASSED
tap,,,2018-06-08 00:32:20,2018-06-08 00:32:20,0.598s,PASSED
delay,,,2018-06-08 00:32:20,2018-06-08 00:32:21,1.005s,PASSED
verifyElementText,,,2018-06-08 00:32:21,2018-06-08 00:32:22,0.917s,PASSED
delay,,,2018-06-08 00:32:22,2018-06-08 00:32:23,1.005s,PASSED
tap,,,2018-06-08 00:32:23,2018-06-08 00:32:25,1.317s,PASSED
delay,,,2018-06-08 00:32:25,2018-06-08 00:32:26,1.005s,PASSED
,,,,,,
Test Cases/CompetencyTraining/VisitShop_2,,,2018-06-08 00:32:26,2018-06-08 00:32:29,3.440s,PASSED
verifyElementText,,,2018-06-08 00:32:26,2018-06-08 00:32:26,0.177s,PASSED
delay,,,2018-06-08 00:32:26,2018-06-08 00:32:27,1.007s,PASSED
customkeywordscollection.CustomKeywords.selectShopForCompetencyTraining,,,2018-06-08 00:32:27,2018-06-08 00:32:29,2.089s,PASSED
,,,,,,
Test Cases/CompetencyTraining/VisitTraining,,,2018-06-08 00:32:29,2018-06-08 00:35:08,2m - 38.997s,PASSED
verifyElementText,,,2018-06-08 00:32:29,2018-06-08 00:32:30,0.195s,PASSED
delay,,,2018-06-08 00:32:30,2018-06-08 00:32:31,1.004s,PASSED
tap,,,2018-06-08 00:32:31,2018-06-08 00:32:33,2.329s,PASSED
delay,,,2018-06-08 00:32:33,2018-06-08 00:32:34,1.004s,PASSED
verifyElementExist,,,2018-06-08 00:32:34,2018-06-08 00:32:34,0.167s,PASSED
delay,,,2018-06-08 00:32:34,2018-06-08 00:32:35,1.007s,PASSED
tap,,,2018-06-08 00:32:35,2018-06-08 00:32:38,3.215s,PASSED
delay,,,2018-06-08 00:32:38,2018-06-08 00:32:43,5.004s,PASSED
tap,,,2018-06-08 00:32:43,2018-06-08 00:32:44,1.018s,PASSED
delay,,,2018-06-08 00:32:44,2018-06-08 00:32:45,1.004s,PASSED
verifyElementText,,,2018-06-08 00:32:45,2018-06-08 00:32:46,0.627s,PASSED
delay,,,2018-06-08 00:32:46,2018-06-08 00:32:47,1.004s,PASSED
tap,,,2018-06-08 00:32:47,2018-06-08 00:32:47,0.364s,PASSED
delay,,,2018-06-08 00:32:47,2018-06-08 00:32:48,1.005s,PASSED
verifyElementText,,,2018-06-08 00:32:48,2018-06-08 00:32:49,0.592s,PASSED
delay,,,2018-06-08 00:32:49,2018-06-08 00:32:50,1.005s,PASSED
tap,,,2018-06-08 00:32:50,2018-06-08 00:32:50,0.333s,PASSED
delay,,,2018-06-08 00:32:50,2018-06-08 00:32:51,1.004s,PASSED
verifyElementText,,,2018-06-08 00:32:51,2018-06-08 00:32:52,0.782s,PASSED
delay,,,2018-06-08 00:32:52,2018-06-08 00:32:53,1.003s,PASSED
tap,,,2018-06-08 00:32:53,2018-06-08 00:32:53,0.419s,PASSED
delay,,,2018-06-08 00:32:53,2018-06-08 00:32:54,1.006s,PASSED
tap,,,2018-06-08 00:32:54,2018-06-08 00:32:55,0.755s,PASSED
delay,,,2018-06-08 00:32:55,2018-06-08 00:32:56,1.004s,PASSED
tap,,,2018-06-08 00:32:56,2018-06-08 00:32:57,0.958s,PASSED
delay,,,2018-06-08 00:32:57,2018-06-08 00:32:58,1.004s,PASSED
tap,,,2018-06-08 00:32:58,2018-06-08 00:32:59,0.919s,PASSED
delay,,,2018-06-08 00:32:59,2018-06-08 00:33:00,1.004s,PASSED
tap,,,2018-06-08 00:33:00,2018-06-08 00:33:01,0.897s,PASSED
delay,,,2018-06-08 00:33:01,2018-06-08 00:33:02,1.005s,PASSED
tap,,,2018-06-08 00:33:02,2018-06-08 00:33:02,0.461s,PASSED
delay,,,2018-06-08 00:33:02,2018-06-08 00:33:03,1.004s,PASSED
tap,,,2018-06-08 00:33:03,2018-06-08 00:33:04,0.716s,PASSED
delay,,,2018-06-08 00:33:04,2018-06-08 00:33:05,1.004s,PASSED
tap,,,2018-06-08 00:33:05,2018-06-08 00:33:06,0.893s,PASSED
delay,,,2018-06-08 00:33:06,2018-06-08 00:33:07,1.006s,PASSED
tap,,,2018-06-08 00:33:07,2018-06-08 00:33:08,0.947s,PASSED
delay,,,2018-06-08 00:33:08,2018-06-08 00:33:09,1.005s,PASSED
tap,,,2018-06-08 00:33:09,2018-06-08 00:33:09,0.426s,PASSED
delay,,,2018-06-08 00:33:09,2018-06-08 00:33:10,1.004s,PASSED
tap,,,2018-06-08 00:33:10,2018-06-08 00:33:11,0.811s,PASSED
delay,,,2018-06-08 00:33:11,2018-06-08 00:33:12,1.004s,PASSED
tap,,,2018-06-08 00:33:12,2018-06-08 00:33:13,0.924s,PASSED
delay,,,2018-06-08 00:33:13,2018-06-08 00:33:14,1.004s,PASSED
pressBack,,,2018-06-08 00:33:14,2018-06-08 00:33:15,0.765s,PASSED
delay,,,2018-06-08 00:33:15,2018-06-08 00:33:16,1.004s,PASSED
verifyElementText,,,2018-06-08 00:33:16,2018-06-08 00:33:16,0.173s,PASSED
delay,,,2018-06-08 00:33:16,2018-06-08 00:33:17,1.005s,PASSED
tap,,,2018-06-08 00:33:17,2018-06-08 00:33:18,0.904s,PASSED
delay,,,2018-06-08 00:33:18,2018-06-08 00:33:19,1.005s,PASSED
verifyElementText,,,2018-06-08 00:33:19,2018-06-08 00:33:20,0.799s,PASSED
delay,,,2018-06-08 00:33:20,2018-06-08 00:33:21,1.004s,PASSED
tap,,,2018-06-08 00:33:21,2018-06-08 00:33:23,2.022s,PASSED
delay,,,2018-06-08 00:33:23,2018-06-08 00:33:24,1.003s,PASSED
verifyElementExist,,,2018-06-08 00:33:24,2018-06-08 00:33:24,0.264s,PASSED
delay,,,2018-06-08 00:33:24,2018-06-08 00:33:25,1.004s,PASSED
tap,,,2018-06-08 00:33:25,2018-06-08 00:33:28,3.164s,PASSED
delay,,,2018-06-08 00:33:28,2018-06-08 00:33:33,5.004s,PASSED
tap,,,2018-06-08 00:33:33,2018-06-08 00:33:35,1.928s,PASSED
delay,,,2018-06-08 00:33:35,2018-06-08 00:33:36,1.004s,PASSED
verifyElementText,,,2018-06-08 00:33:36,2018-06-08 00:33:37,0.639s,PASSED
delay,,,2018-06-08 00:33:37,2018-06-08 00:33:38,1.003s,PASSED
pressBack,,,2018-06-08 00:33:38,2018-06-08 00:33:39,0.565s,PASSED
delay,,,2018-06-08 00:33:39,2018-06-08 00:33:40,1.003s,PASSED
verifyElementText,,,2018-06-08 00:33:40,2018-06-08 00:33:40,0.462s,PASSED
delay,,,2018-06-08 00:33:40,2018-06-08 00:33:41,1.003s,PASSED
tap,,,2018-06-08 00:33:41,2018-06-08 00:33:41,0.323s,PASSED
delay,,,2018-06-08 00:33:41,2018-06-08 00:33:42,1.004s,PASSED
verifyElementExist,,,2018-06-08 00:33:42,2018-06-08 00:33:44,1.553s,PASSED
delay,,,2018-06-08 00:33:44,2018-06-08 00:33:45,1.004s,PASSED
customkeywordscollection.CustomKeywords.takePictureOfSuccess,,,2018-06-08 00:33:45,2018-06-08 00:34:22,37.222s,PASSED
pressBack,,,2018-06-08 00:34:22,2018-06-08 00:34:23,0.446s,PASSED
delay,,,2018-06-08 00:34:23,2018-06-08 00:34:24,1.003s,PASSED
verifyElementText,,,2018-06-08 00:34:24,2018-06-08 00:34:24,0.497s,PASSED
delay,,,2018-06-08 00:34:24,2018-06-08 00:34:25,1.002s,PASSED
tap,,,2018-06-08 00:34:25,2018-06-08 00:34:26,0.883s,PASSED
delay,,,2018-06-08 00:34:26,2018-06-08 00:34:27,1.005s,PASSED
verifyElementText,,,2018-06-08 00:34:27,2018-06-08 00:34:28,0.956s,PASSED
delay,,,2018-06-08 00:34:28,2018-06-08 00:34:29,1.005s,PASSED
tap,,,2018-06-08 00:34:29,2018-06-08 00:34:31,2.011s,PASSED
delay,,,2018-06-08 00:34:31,2018-06-08 00:34:32,1.003s,PASSED
verifyElementExist,,,2018-06-08 00:34:32,2018-06-08 00:34:32,0.128s,PASSED
delay,,,2018-06-08 00:34:32,2018-06-08 00:34:33,1.003s,PASSED
tap,,,2018-06-08 00:34:33,2018-06-08 00:34:36,3.303s,PASSED
delay,,,2018-06-08 00:34:36,2018-06-08 00:34:41,5.003s,PASSED
tap,,,2018-06-08 00:34:41,2018-06-08 00:34:43,1.943s,PASSED
delay,,,2018-06-08 00:34:43,2018-06-08 00:34:44,1.005s,PASSED
verifyElementText,,,2018-06-08 00:34:44,2018-06-08 00:34:45,0.597s,PASSED
delay,,,2018-06-08 00:34:45,2018-06-08 00:34:46,1.003s,PASSED
pressBack,,,2018-06-08 00:34:46,2018-06-08 00:34:46,0.410s,PASSED
delay,,,2018-06-08 00:34:46,2018-06-08 00:34:47,1.002s,PASSED
verifyElementText,,,2018-06-08 00:34:47,2018-06-08 00:34:48,0.618s,PASSED
delay,,,2018-06-08 00:34:48,2018-06-08 00:34:49,1.004s,PASSED
tap,,,2018-06-08 00:34:49,2018-06-08 00:34:49,0.397s,PASSED
delay,,,2018-06-08 00:34:49,2018-06-08 00:34:50,1.003s,PASSED
verifyElementText,,,2018-06-08 00:34:50,2018-06-08 00:34:51,0.623s,PASSED
delay,,,2018-06-08 00:34:51,2018-06-08 00:34:52,1.004s,PASSED
setText,,,2018-06-08 00:34:52,2018-06-08 00:35:02,9.755s,PASSED
hideKeyboard,,,2018-06-08 00:35:02,2018-06-08 00:35:02,0.687s,PASSED
delay,,,2018-06-08 00:35:02,2018-06-08 00:35:03,1.002s,PASSED
tap,,,2018-06-08 00:35:03,2018-06-08 00:35:04,0.832s,PASSED
delay,,,2018-06-08 00:35:04,2018-06-08 00:35:05,1.004s,PASSED
verifyElementExist,,,2018-06-08 00:35:05,2018-06-08 00:35:05,0.158s,PASSED
delay,,,2018-06-08 00:35:05,2018-06-08 00:35:06,1.002s,PASSED
tap,,,2018-06-08 00:35:06,2018-06-08 00:35:07,0.583s,PASSED
delay,,,2018-06-08 00:35:07,2018-06-08 00:35:08,1.002s,PASSED
,,,,,,
Test Cases/CompetencyTraining/SaveTrainingWithoutOverwriting,,,2018-06-08 00:35:08,2018-06-08 00:35:16,7.955s,PASSED
verifyElementText,,,2018-06-08 00:35:08,2018-06-08 00:35:09,0.671s,PASSED
delay,,,2018-06-08 00:35:09,2018-06-08 00:35:10,1.004s,PASSED
tap,,,2018-06-08 00:35:10,2018-06-08 00:35:11,0.802s,PASSED
delay,,,2018-06-08 00:35:11,2018-06-08 00:35:12,1.003s,PASSED
verifyElementExist,,,2018-06-08 00:35:12,2018-06-08 00:35:12,0.340s,PASSED
delay,,,2018-06-08 00:35:12,2018-06-08 00:35:13,1.003s,PASSED
tap,,,2018-06-08 00:35:13,2018-06-08 00:35:14,0.765s,PASSED
