Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sample,,,2018-06-07 02:55:34,2018-06-07 02:56:32,57.358s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-06-07 02:55:35,2018-06-07 02:56:02,26.998s,PASSED
startApplication,,,2018-06-07 02:55:35,2018-06-07 02:55:57,21.527s,PASSED
delay,,,2018-06-07 02:55:57,2018-06-07 02:56:02,5.087s,PASSED
,,,,,,
Test Cases/CCSDE-Book/VisitCCSDE-Book,,,2018-06-07 02:56:02,2018-06-07 02:56:29,26.879s,PASSED
tap,,,2018-06-07 02:56:02,2018-06-07 02:56:07,4.377s,PASSED
delay,,,2018-06-07 02:56:07,2018-06-07 02:56:08,1.006s,PASSED
verifyElementExist,,,2018-06-07 02:56:08,2018-06-07 02:56:08,0.219s,PASSED
delay,,,2018-06-07 02:56:08,2018-06-07 02:56:09,1.004s,PASSED
tap,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.006s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.007s,NOT_RUN
verifyElementText,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.005s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.006s,NOT_RUN
customkeywordscollection.CustomKeywords.visitProgramsForPosRanking,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
tap,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
verifyElementExist,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.003s,NOT_RUN
tap,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.003s,NOT_RUN
verifyElementText,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.003s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
tap,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
waitForElementPresent,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
verifyElementText,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.007s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
tap,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
verifyElementText,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
tap,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
waitForElementPresent,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
verifyElementText,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
tap,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
verifyElementText,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
tap,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
verifyElementExist,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
tap,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
verifyElementText,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
tap,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.002s,NOT_RUN
verifyElementExist,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.003s,NOT_RUN
delay,,,2018-06-07 02:56:09,2018-06-07 02:56:09,0.001s,NOT_RUN
tap,,,2018-06-07 02:56:09,2018-06-07 02:56:10,0.672s,PASSED
delay,,,2018-06-07 02:56:10,2018-06-07 02:56:11,1.005s,PASSED
verifyElementExist,,,2018-06-07 02:56:11,2018-06-07 02:56:11,0.719s,PASSED
delay,,,2018-06-07 02:56:11,2018-06-07 02:56:12,1.004s,PASSED
tap,,,2018-06-07 02:56:12,2018-06-07 02:56:13,0.781s,PASSED
delay,,,2018-06-07 02:56:13,2018-06-07 02:56:18,5.003s,PASSED
